epoch,frame_auc,frame_f1_score,frame_fn,frame_fp,frame_precision,frame_tn,frame_tp,loss,utt_auc,utt_f1_score,utt_fn,utt_fp,utt_precision,utt_tn,utt_tp,val_frame_auc,val_frame_f1_score,val_frame_fn,val_frame_fp,val_frame_precision,val_frame_tn,val_frame_tp,val_loss,val_utt_auc,val_utt_f1_score,val_utt_fn,val_utt_fp,val_utt_precision,val_utt_tn,val_utt_tp
0,0.8484645485877991,0.04688552767038345,2902.0,3419977.0,0.02402540296316147,97242.0,84189.0,3171.097412109375,0.5965823531150818,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8886200189590454,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,38.65975570678711,0.8518518209457397,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
1,0.8816366195678711,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,21.757740020751953,0.6157989501953125,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8885024785995483,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,12.92437744140625,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
2,0.8816051483154297,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,11.376771926879883,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8885024785995483,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,8.857735633850098,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
3,0.8816042542457581,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,8.122118949890137,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.888485848903656,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,6.514903545379639,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
4,0.8815335035324097,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,6.12514591217041,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.888374388217926,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,5.026793479919434,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
5,0.8814865350723267,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,4.815162181854248,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883529901504517,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,4.037923336029053,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
6,0.8814789056777954,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,3.904604911804199,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883548974990845,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,3.3180997371673584,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
7,0.8814780712127686,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,3.239900827407837,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883543610572815,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,2.7805984020233154,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
8,0.8814778923988342,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,2.731614351272583,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883544206619263,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,2.3622474670410156,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
9,0.881477952003479,0.04718587175011635,0.0,3517219.0,0.02416301518678665,0.0,87091.0,2.335433006286621,0.5,0.9846799373626709,0.0,73.0,0.9698222279548645,0.0,2346.0,0.8883544206619263,0.04524087533354759,0.0,1174601.0,0.023143967613577843,0.0,27829.0,2.032484292984009,0.5,0.9829867482185364,0.0,27.0,0.9665427803993225,0.0,780.0
